1 3.63701 2.37533 6.01234 509
2 3.45433 3.75501 7.20934 2592
3 3.64871 1.97511 5.62382 509
4 3.25377 3.49432 6.74809 1615
5 3.6059 3.05677 6.66267 616
6 3.53141 2.98879 6.52020 528
7 3.48546 3.00367 6.48913 538
8 3.53177 1.45856 4.99033 477
9 3.55764 2.3914 5.94904 901
10 3.19843 6.26106 9.45949 4134
11 3.52544 4.17816 7.70360 750
12 3.48948 2.14691 5.63639 745
13 3.47305 3.11519 6.58824 1327
14 3.515 2.46262 5.97762 651
15 3.64812 2.27539 5.92351 537
16 3.52446 2.03008 5.55454 521
17 3.4109 4.48784 7.89874 2625
18 3.3948 4.82962 8.22442 3649
19 3.55979 2.27333 5.83312 731
20 3.61749 2.44539 6.06288 523
21 3.49557 3.20878 6.70435 1143
22 3.55019 2.87463 6.42482 514
23 3.33929 5.24819 8.58748 3717
24 3.4997 2.93797 6.43767 711
25 3.50938 2.49644 6.00582 560
26 3.54251 2.04074 5.58325 500
27 3.46923 2.82307 6.29230 469
28 3.51407 5.42493 8.93900 4473
29 3.54878 2.67915 6.22793 538
30 3.4664 2.28654 5.75294 534
31 3.51988 2.93895 6.45883 623
32 3.4655 1.20623 4.67173 605
33 3.27506 3.95623 7.23129 2161
34 3.54496 1.53591 5.08087 486
35 3.49976 4.72503 8.22479 891
36 3.44404 2.54999 5.99403 1002
37 3.52408 3.17362 6.69770 807
38 3.50287 0.919725 4.422595 594
39 3.45858 2.94698 6.40556 520
40 3.36293 2.78829 6.15122 2018
41 3.64819 2.05906 5.70725 513
42 3.48989 3.40328 6.89317 778
43 3.07144 4.80172 7.87316 1440
44 3.58675 2.52603 6.11278 498
45 3.50161 2.47779 5.97940 490
46 3.65613 2.22772 5.88385 523
47 3.3118 4.14694 7.45874 2762
48 3.51191 2.15188 5.66379 484
49 3.36382 3.46077 6.82459 1010
50 3.51705 1.51484 5.03189 535
51 3.20438 3.73903 6.94341 2150
52 3.50252 4.47283 7.97535 1357
53 3.06851 5.252 8.32051 3413
54 3.52416 2.82144 6.34560 583
55 3.3649 2.99918 6.36408 902
56 3.5037 2.87633 6.38003 1066
57 3.33863 3.30839 6.64702 1962
58 3.53431 2.90579 6.44010 521
59 3.31664 7.00089 10.31753 5045
60 3.45689 3.30599 6.76288 497
61 3.52892 2.69336 6.22228 531
62 3.42308 2.03261 5.45569 531
63 3.55683 1.72214 5.27897 484
64 3.52332 3.43618 6.95950 721
65 3.50979 3.5013 7.01109 543
66 3.57071 1.93592 5.50663 1057
67 3.54159 3.30236 6.84395 524
68 3.57247 1.30322 4.87569 506
69 3.50289 4.90408 8.40697 2208
70 3.47067 1.47805 4.94872 666
71 3.96495 7.94544 11.91039 160207
72 3.41269 2.9 6.31269 697
73 3.43438 3.02866 6.46304 721
74 3.52208 1.23895 4.76103 504
75 3.52661 2.63031 6.15692 1127
76 3.43567 2.35823 5.79390 1659
77 3.46511 3.49801 6.96312 640
78 3.48537 3.48983 6.97520 811
79 3.5481 2.18671 5.73481 521
80 3.48047 1.88821 5.36868 509
81 3.47564 2.87222 6.34786 603
82 3.53293 1.81286 5.34579 493
83 3.36742 3.84225 7.20967 1662
84 3.45561 3.10985 6.56546 493
85 3.40933 4.03514 7.44447 1297
86 3.49252 2.05168 5.54420 500
87 3.41101 3.65006 7.06107 2591
88 3.55749 1.16329 4.72078 794
89 3.38795 3.93575 7.32370 2707
90 3.41143 4.46465 7.87608 783
91 3.51222 1.79698 5.30920 474
92 3.4771 1.64951 5.12661 478
93 3.49927 3.72571 7.22498 767
94 3.50476 3.16931 6.67407 1080
95 3.33252 7.18893 10.52145 3936
96 3.54367 2.58873 6.13240 531
97 3.48462 4.85331 8.33793 861
98 3.51736 1.65006 5.16742 458
99 3.46214 3.70229 7.16443 506
100 3.0009 7.04972 10.05062 4325
101 3.6635 2.05571 5.71921 507
102 3.46677 3.43169 6.89846 892
103 3.50523 2.52449 6.02972 516
104 3.51471 0.792132 4.306842 556
105 3.65072 2.36368 6.01440 599
106 3.47728 2.91107 6.38835 648
107 3.3955 7.76994 11.16544 8218
108 3.45216 2.98982 6.44198 665
109 3.52111 3.36804 6.88915 884
110 3.55416 2.38101 5.93517 525
111 3.25668 4.62809 7.88477 2091
112 3.47982 3.11637 6.59619 610
113 3.33127 4.96446 8.29573 3695
114 3.5334 3.33961 6.87301 1840
115 3.45615 3.79896 7.25511 571
116 3.50516 3.89734 7.40250 692
117 3.46966 2.11768 5.58734 475
118 3.09242 7.76689 10.85931 5301
119 3.25856 3.85787 7.11643 2142
120 3.64441 1.70988 5.35429 509
121 3.45137 3.387 6.83837 636
122 3.4717 2.40649 5.87819 480
123 3.5759 3.10621 6.68211 764
124 3.5234 1.70877 5.23217 477
125 3.54597 3.22491 6.77088 1013
